TimeRemaining,AwayPlay,Score,HomePlay
3:41.0,Turnover by L. Dončić (bad pass; steal by G. Allen),82-81, 
3:38.0, ,82-84,G. Allen makes 3-pt jump shot from 25 ft
3:37.0,Dallas full timeout,82-84, 
3:37.0,S. Curry enters the game for A. Lawson,82-84, 
3:37.0, ,82-84,D. Eubanks enters the game for C. Metu
3:26.0,Offensive foul by D. Lively (drawn by J. Okogie),82-84, 
3:26.0,Turnover by D. Lively (offensive foul),82-84, 
3:12.0, ,82-84,Turnover by D. Booker (bad pass; steal by L. Dončić)
3:05.0,G. Williams misses 3-pt jump shot from 27 ft,82-84, 
3:01.0,Offensive rebound by S. Curry,82-84, 
2:59.0,Personal foul by D. Booker (drawn by L. Dončić),82-84, 
2:59.0, ,82-84,J. Goodwin enters the game for J. Okogie
2:54.0,Shooting foul by K. Durant (drawn by D. Lively),82-84, 
2:54.0,D. Lively misses free throw 1 of 2,82-84, 
2:54.0,Offensive rebound by Team,82-84, 
2:54.0,J. Hardy enters the game for T. Hardaway,82-84, 
2:54.0,D. Lively misses free throw 2 of 2,82-84, 
2:52.0, ,82-84,Defensive rebound by D. Eubanks
2:38.0, ,82-87,G. Allen makes 3-pt jump shot from 25 ft (assist by D. Booker)
2:23.0,D. Lively makes 2-pt dunk from 1 ft (assist by L. Dončić),84-87, 
2:00.0, ,84-87,G. Allen misses 3-pt jump shot from 29 ft
1:58.0, ,84-87,Offensive rebound by J. Goodwin
1:58.0, ,84-87,J. Goodwin misses 2-pt layup from 2 ft (block by G. Williams)
1:58.0, ,84-87,Offensive rebound by D. Eubanks
1:54.0, ,84-89,G. Allen makes 2-pt layup from 5 ft (assist by D. Booker)
1:37.0,Shooting foul by D. Booker (drawn by G. Williams),84-89, 
1:37.0,G. Williams makes free throw 1 of 2,85-89, 
1:37.0,D. Jones enters the game for D. Lively,85-89, 
1:37.0,G. Williams misses free throw 2 of 2,85-89, 
1:35.0, ,85-89,Defensive rebound by D. Eubanks
1:25.0, ,85-89,Personal foul by G. Williams (drawn by D. Booker)
1:25.0, ,85-89,Instant Replay (Request: Stands)
1:25.0,Technical foul by G. Williams,85-89, 
1:25.0, ,85-89,Technical foul by D. Booker
1:25.0, ,85-89,D. Booker misses free throw 1 of 2
1:25.0, ,85-89,Offensive rebound by Team
1:25.0, ,85-90,D. Booker makes free throw 2 of 2
1:10.0,Offensive foul by G. Williams (drawn by G. Allen),85-90, 
1:10.0,Turnover by G. Williams (offensive foul),85-90, 
1:04.0, ,85-90,Phoenix full timeout
1:04.0, ,85-90,Instant Replay (Challenge: Ruling Stands)
0:59.0, ,85-90,J. Goodwin misses 2-pt layup from 5 ft (block by L. Dončić)
0:57.0,Defensive rebound by L. Dončić,85-90, 
0:52.0,L. Dončić makes 3-pt jump shot from 27 ft,88-90, 
0:30.0, ,88-92,G. Allen makes 2-pt jump shot from 4 ft (assist by D. Booker)
0:07.0,D. Jones makes 3-pt jump shot from 25 ft (assist by J. Hardy),91-92, 
0:01.0, ,91-92,G. Allen misses 3-pt jump shot from 23 ft
0:01.0, ,91-92,Offensive rebound by Team
11:40.0, ,91-94,K. Durant makes 2-pt jump shot from 5 ft (assist by G. Allen)
11:22.0,L. Dončić misses 3-pt jump shot from 26 ft,91-94, 
11:22.0, ,91-94,Defensive rebound by C. Metu
11:06.0, ,91-94,Shooting foul by D. Jones (drawn by K. Durant)
11:06.0, ,91-95,K. Durant makes free throw 1 of 3
11:06.0, ,91-96,K. Durant makes free throw 2 of 3
11:06.0,D. Lively enters the game for D. Jones,91-96, 
11:06.0, ,91-97,K. Durant makes free throw 3 of 3
10:46.0,D. Exum makes 2-pt jump shot from 16 ft,93-97, 
10:27.0, ,93-97,K. Durant misses 2-pt jump shot from 19 ft
10:24.0,Defensive rebound by T. Hardaway,93-97, 
10:18.0,L. Dončić makes 3-pt jump shot from 26 ft,96-97, 
10:02.0, ,96-100,G. Allen makes 3-pt jump shot from 23 ft (assist by K. Durant)
9:50.0,Personal foul by C. Metu (drawn by D. Exum),96-100, 
9:50.0, ,96-100,D. Booker enters the game for J. Goodwin
9:38.0,G. Williams makes 2-pt jump shot from 11 ft (assist by L. Dončić),98-100, 
9:24.0,Violation by Team (kicked ball),98-100, 
9:24.0,D. Jones enters the game for G. Williams,98-100, 
9:19.0, ,98-102,C. Metu makes 2-pt dunk from 1 ft (assist by D. Booker)
9:10.0,L. Dončić makes 3-pt jump shot from 29 ft,101-102, 
9:07.0, ,101-102,Phoenix full timeout
9:07.0, ,101-102,J. Okogie enters the game for G. Allen
8:54.0, ,101-102,Turnover by K. Durant (bad pass; steal by D. Jones)
8:46.0,Shooting foul by J. Okogie (drawn by D. Lively),101-102, 
8:46.0,D. Lively makes free throw 1 of 2,102-102, 
8:46.0,D. Lively makes free throw 2 of 2,103-102, 
8:25.0, ,103-102,Turnover by C. Metu (out of bounds lost ball)
8:08.0,D. Jones makes 3-pt jump shot from 23 ft (assist by D. Exum),106-102, 
7:55.0, ,106-102,K. Durant misses 3-pt jump shot from 25 ft
7:52.0,Defensive rebound by D. Lively,106-102, 
7:49.0,Turnover by D. Exum (out of bounds lost ball),106-102, 
7:49.0, ,106-102,G. Allen enters the game for J. Okogie
7:34.0, ,106-104,G. Allen makes 2-pt jump shot from 11 ft (assist by D. Booker)
7:17.0,L. Dončić misses 3-pt jump shot from 25 ft,106-104, 
7:13.0,Offensive rebound by D. Lively,106-104, 
7:12.0,T. Hardaway misses 3-pt jump shot from 26 ft,106-104, 
7:08.0,Offensive rebound by L. Dončić,106-104, 
7:01.0,Turnover by D. Exum (bad pass; steal by D. Booker),106-104, 
7:01.0, ,106-104,Personal foul by T. Hardaway (drawn by D. Booker)
6:49.0, ,106-104,D. Booker misses 3-pt jump shot from 25 ft
6:46.0,Defensive rebound by L. Dončić,106-104, 
6:39.0,Shooting foul by G. Allen (drawn by L. Dončić),106-104, 
6:39.0,L. Dončić makes free throw 1 of 2,107-104, 
6:39.0,S. Curry enters the game for D. Exum,107-104, 
6:39.0,L. Dončić makes free throw 2 of 2,108-104, 
6:24.0, ,108-104,Turnover by K. Durant (bad pass; steal by L. Dončić)
6:19.0,Turnover by L. Dončić (bad pass; steal by C. Metu),108-104, 
6:13.0, ,108-104,G. Allen misses 3-pt jump shot from 23 ft
6:09.0, ,108-104,Offensive rebound by C. Metu
6:07.0, ,108-104,E. Gordon misses 3-pt jump shot from 25 ft
6:05.0,Defensive rebound by T. Hardaway,108-104, 
5:51.0,D. Jones misses 2-pt layup from 1 ft,108-104, 
5:49.0,Offensive rebound by D. Lively,108-104, 
5:49.0,D. Lively makes 2-pt dunk at rim,110-104, 
5:39.0, ,110-104,Personal foul by T. Hardaway (drawn by D. Booker)
5:39.0, ,110-104,D. Eubanks enters the game for C. Metu
5:34.0, ,110-106,D. Booker makes 2-pt layup at rim
5:17.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by D. Jones),113-106, 
5:16.0, ,113-106,Phoenix full timeout
5:07.0, ,113-106,Turnover by G. Allen (bad pass)
4:58.0,Personal foul by D. Booker (drawn by T. Hardaway),113-106, 
