TimeRemaining,AwayPlay,Score,HomePlay
10:28.0, ,93-92,C. Braun misses 2-pt hook shot from 7 ft (block by A. Wiggins)
10:26.0,Defensive rebound by K. Thompson,93-92, 
10:17.0,Shooting foul by C. Braun (drawn by A. Wiggins),93-92, 
10:17.0,A. Wiggins makes free throw 1 of 2,94-92, 
10:17.0, ,94-92,M. Porter enters the game for C. Braun
10:17.0,A. Wiggins makes free throw 2 of 2,95-92, 
10:04.0, ,95-94,A. Gordon makes 2-pt layup from 1 ft (assist by J. Murray)
9:56.0,D. Šarić misses 3-pt jump shot from 24 ft,95-94, 
9:53.0, ,95-94,Defensive rebound by M. Porter
9:40.0, ,95-94,Turnover by J. Murray (bad pass; steal by K. Thompson)
9:34.0,A. Wiggins misses 3-pt jump shot from 25 ft,95-94, 
9:31.0, ,95-94,Defensive rebound by J. Murray
9:22.0, ,95-94,J. Murray misses 3-pt jump shot from 26 ft
9:18.0,Defensive rebound by B. Podziemski,95-94, 
9:11.0,K. Thompson misses 3-pt jump shot from 26 ft,95-94, 
9:08.0, ,95-94,Defensive rebound by Team
8:55.0, ,95-94,M. Porter misses 3-pt jump shot from 26 ft
8:55.0,Defensive rebound by K. Thompson,95-94, 
8:44.0,K. Thompson misses 3-pt jump shot from 23 ft,95-94, 
8:44.0, ,95-94,Defensive rebound by A. Gordon
8:37.0, ,95-94,Turnover by A. Gordon (lost ball; steal by B. Podziemski)
8:35.0,B. Podziemski makes 2-pt layup from 2 ft,97-94, 
8:22.0, ,97-96,J. Strawther makes 2-pt jump shot from 10 ft (assist by J. Murray)
8:22.0, ,97-96,Shooting foul by D. Šarić (drawn by J. Strawther)
8:22.0,S. Curry enters the game for C. Paul,97-96, 
8:22.0, ,97-96,N. Jokić enters the game for A. Gordon
8:22.0, ,97-96,J. Strawther misses free throw 1 of 1
8:16.0,Defensive rebound by D. Šarić,97-96, 
8:06.0,B. Podziemski misses 3-pt jump shot from 22 ft,97-96, 
8:03.0, ,97-96,Defensive rebound by N. Jokić
7:57.0, ,97-98,M. Porter makes 2-pt layup from 1 ft
7:41.0,K. Thompson misses 3-pt jump shot from 24 ft,97-98, 
7:37.0, ,97-98,Defensive rebound by N. Jokić
7:25.0, ,97-100,J. Murray makes 2-pt dunk from 2 ft (assist by N. Jokić)
7:25.0,Golden State full timeout,97-100, 
7:25.0,J. Kuminga enters the game for D. Šarić,97-100, 
7:25.0,K. Looney enters the game for K. Thompson,97-100, 
7:25.0, ,97-100,K. Caldwell-Pope enters the game for J. Strawther
7:12.0,S. Curry makes 2-pt jump shot from 20 ft (assist by K. Looney),99-100, 
6:50.0, ,99-102,N. Jokić makes 2-pt layup from 1 ft
6:27.0,A. Wiggins makes 2-pt jump shot from 10 ft (assist by J. Kuminga),101-102, 
6:08.0, ,101-102,Personal foul by K. Looney (drawn by N. Jokić)
5:59.0, ,101-102,P. Watson misses 3-pt jump shot from 24 ft
5:56.0,Defensive rebound by J. Kuminga,101-102, 
5:38.0,A. Wiggins makes 2-pt hook shot from 5 ft,103-102, 
5:16.0, ,103-104,N. Jokić makes 2-pt hook shot from 6 ft
5:04.0,Offensive foul by S. Curry (drawn by N. Jokić),103-104, 
5:04.0,Turnover by S. Curry (offensive foul),103-104, 
5:04.0, ,103-104,A. Gordon enters the game for P. Watson
4:46.0, ,103-104,K. Caldwell-Pope misses 3-pt jump shot from 26 ft
4:42.0,Defensive rebound by B. Podziemski,103-104, 
4:39.0,S. Curry misses 3-pt jump shot from 25 ft,103-104, 
4:36.0, ,103-104,Defensive rebound by Team
4:19.0, ,103-104,Personal foul by S. Curry (drawn by N. Jokić)
4:13.0, ,103-104,N. Jokić misses 3-pt jump shot from 25 ft
4:13.0, ,103-104,Offensive rebound by A. Gordon
4:13.0, ,103-106,A. Gordon makes 2-pt layup from 3 ft
